Trajectory,N_clusters,Lag,Timescale_1,Timescale_2,Timescale_3,Timescale_4,Timescale_5,Timescale_6,Timescale_7,Timescale_8,Timescale_9,Timescale_10
pca_distances,500,100,4963.213539131539,401.7156599889709,253.57669896748763,230.500335055277,185.03920560457345,182.90321804154917,156.52783375417314,154.94853304355647,132.4212925292349,121.7077854245483
pca_distances,500,500,8038.970497926294,970.1143394128957,778.4681622412018,535.7723518610352,519.0158711603821,371.9323495853849,362.77157226751973,346.4740109805624,341.40167862879184,337.4464307769914
pca_distances,500,1000,9176.386379075351,1389.1941446733847,1163.0562733652075,781.6528395575015,768.9194750912741,669.1574162496286,610.3664467821689,496.3577624891704,460.8691214311531,447.25243199360483
tica_dihedrals,100,1,416.8361601743067,305.74280572825364,102.3363679031294,76.82520499643444,51.96981839421525,39.68587831738627,27.85151638243314,17.173274004484032,14.668224499681061,14.080103184919295
tica_dihedrals,100,10,1736.711338555832,1114.6003957552496,610.7445334314806,521.3019841915243,366.1134760054397,245.45230619934537,172.23164209497597,106.07290417422588,82.40723416779721,76.69328351694055
tica_dihedrals,100,100,4833.910726180235,2884.653792245877,2323.1059729975395,1877.5944043141744,1192.9983818378355,947.673965371762,671.1056290145481,440.9886193781574,281.3661928468166,266.62907344320445
tica_dihedrals,100,500,8700.471390751876,6268.369275987211,4447.770780751106,2659.3382126657243,1856.611132338733,1406.084575518329,1166.6650056005938,779.5950289603767,697.3890729360237,635.7572005078542
tica_dihedrals,100,1000,10193.468696080314,7410.811944572197,5106.035275091855,2709.4283557703925,1724.9897193811223,1494.4117427504514,1296.6216630698675,836.9547160610647,783.8400879693577,727.2307485340701
tica_dihedrals,200,1,449.853179139662,328.9317046129195,151.89844309337875,108.65954281850895,57.66869298890953,46.66299838663096,29.762487813982837,21.400712840325433,17.24761586590873,16.60380806285817
tica_dihedrals,200,10,1816.7540725929962,1157.0073441734676,956.6964827212955,604.8582968323564,401.5874074191477,279.07252641316546,183.73774269610763,108.97125363530317,107.38315156823533,95.08135043082406
tica_dihedrals,200,100,5402.011550117324,4276.89149574227,2450.7477011236847,1975.3488079973733,1225.109335883655,1059.059328818472,712.1050118788186,456.6236608745577,355.2734322855293,324.4352680269749
tica_dihedrals,200,500,9359.927412985946,7407.233226521604,4666.059311185529,2715.9899976411966,1947.1768969655295,1420.017745804478,1198.166596045232,813.1209615950277,764.7085731981555,703.9494234464047
tica_dihedrals,200,1000,10617.043266875828,8096.387862068113,5292.971840736071,2766.146769960931,1794.1527662168144,1509.579825264046,1345.6370493207212,914.9310947228239,873.838844813017,775.9111299251134
tica_dihedrals,500,1,540.8895765093087,384.3762224397806,188.71409381312816,124.78483954103734,76.3430789959663,52.269358069147096,36.658067736979035,23.407052529078587,23.115040791361835,21.134696438254537
tica_dihedrals,500,10,2028.527493479217,1284.9112652774957,1104.979811169417,658.9997645977811,496.46145442938,388.8000205942606,223.46505467812167,140.490049472012,139.18546733603299,135.61832233451335
